0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:05:25 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:06:35 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:06:37 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:06:37 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:06:50 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:04 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:05 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:05 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:06 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:27 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:50 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:07:58 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:04 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:06 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:06 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:06 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:07 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:08:07 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:09:53 +0530] "GET /spring-mvc-demo/student/showForm HTTP/1.1" 200 1549
0:0:0:0:0:0:0:1 - - [16/Aug/2022:12:09:56 +0530] "POST /spring-mvc-demo/student/processForm HTTP/1.1" 200 270
